setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OgsRq,293.15,0.75,101.3,1141.7,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,293.15,1.5,101.3,1067.8,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,298.15,0.75,101.3,1139.3,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,298.15,1.5,101.3,1064.7,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,303.15,0.75,101.3,1136.3,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,303.15,1.5,101.3,1061.7,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,308.15,0.75,101.3,1133.2,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,308.15,1.5,101.3,1058.8,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,313.15,0.75,101.3,1130,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,313.15,1.5,101.3,1055.8,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,318.15,0.75,101.3,1126.9,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,318.15,1.5,101.3,1052.7,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,323.15,0.75,101.3,1123.7,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,323.15,1.5,101.3,1049.4,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,328.15,0.75,101.3,1119,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,328.15,1.5,101.3,1046,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,333.15,0.75,101.3,1115,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
OgsRq,333.15,1.5,101.3,1042.3,Kianpour et al. (2022),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,
